epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.07141,1.04661,4.73704,1.32826,0.19898,1,0.26901,0.25286,0.3275,6.29448,0.8492,6.668e-05,6.668e-05,6.668e-05
2,11.4727,0.94025,4.4373,1.26124,0.91503,0.91292,0.995,0.91938,0.29288,2.63069,0.82734,0.000147555,0.000147555,0.000147555
3,15.6625,0.82057,2.83879,1.18596,0.6797,1,0.86286,0.76599,0.45111,3.18301,0.91302,0.000225678,0.000225678,0.000225678
4,19.1816,0.86906,2.00556,1.13755,0.95948,0.7,0.81773,0.6008,0.75081,3.78024,1.13063,0.000301052,0.000301052,0.000301052
5,22.5245,0.85789,1.6936,1.12373,0.54003,0.78734,0.67896,0.431,1.23332,5.07355,1.45103,0.000373675,0.000373675,0.000373675
6,25.6084,0.85738,1.36163,1.12808,0.33917,0.84935,0.53307,0.26456,0.97498,3.95652,1.26124,0.000443547,0.000443547,0.000443547
7,28.5154,0.98874,1.34875,1.20126,0.73679,0.9,0.87208,0.63347,0.71564,3.20049,1.14976,0.000510669,0.000510669,0.000510669
8,31.0805,0.92965,1.18151,1.19633,0.67895,0.675,0.7892,0.59219,0.92117,3.44569,1.42936,0.00057504,0.00057504,0.00057504
9,33.4872,1.01146,1.11513,1.19045,0.22789,0.225,0.18746,0.10118,2.35305,4.28803,2.20966,0.000636661,0.000636661,0.000636661
10,37.0364,0.97339,1.13288,1.18893,0.91969,0.1,0.09838,0.07833,3.06654,3.83403,2.94378,0.000695531,0.000695531,0.000695531
11,39.7487,1.06684,1.13764,1.23681,0.0026,0.3,0.0286,0.01116,3.5611,3.69719,4.54707,0.00075165,0.00075165,0.00075165
12,42.0871,1.01756,1.03704,1.17832,0.00123,0.2,0.00102,0.00025,4.23742,9.19612,6.49763,0.000805019,0.000805019,0.000805019
13,44.7644,0.98538,1.06333,1.17498,0.00229,0.45,0.00186,0.00039,4.01306,45.9004,8.94381,0.000855638,0.000855638,0.000855638
14,47.7635,0.93423,0.89998,1.13136,0.00375,0.325,0.00607,0.00423,3.56107,128.014,9.52349,0.000903506,0.000903506,0.000903506
15,50.8944,1.01819,0.90584,1.21391,0.00422,0.375,0.00365,0.00067,3.8477,69.9707,6.10982,0.000948623,0.000948623,0.000948623
16,53.4081,1.03407,0.86797,1.15136,0.50462,0.25,0.00311,0.00174,3.27867,51.979,6.01383,0.00099099,0.00099099,0.00099099
17,55.8413,1.10229,0.88076,1.20957,0.16575,0.1,0.10332,0.06179,2.33082,32.7847,3.76227,0.00103061,0.00103061,0.00103061
18,58.3045,1.09508,1.03557,1.25149,0.43803,0.475,0.22909,0.1377,2.33665,3.6656,2.99791,0.00106747,0.00106747,0.00106747
19,61.2475,1.10036,1.00935,1.26823,0.50746,0.225,0.17611,0.11735,2.087,4.74875,3.00379,0.00110159,0.00110159,0.00110159
20,64.7134,1.02239,0.94198,1.25377,0.77301,0.45,0.47674,0.26172,2.52126,2.34304,4.35047,0.00113295,0.00113295,0.00113295
21,67.1469,1.04596,0.85232,1.1579,0.67209,0.675,0.60904,0.42133,1.63876,1.60705,2.3217,0.00111689,0.00111689,0.00111689
22,69.6105,0.95642,0.8511,1.1347,0.59385,0.88069,0.7659,0.50153,1.13685,1.24726,1.53356,0.00108938,0.00108938,0.00108938
23,72.0483,0.95778,0.8663,1.18431,0.88921,0.71433,0.93071,0.63057,1.07282,1.16098,1.34309,0.00106188,0.00106188,0.00106188
24,75.3757,0.9518,0.81671,1.09486,0.43478,0.41591,0.4315,0.28421,1.68036,2.04693,2.0573,0.00103437,0.00103437,0.00103437
25,78.1776,0.96234,0.8734,1.12584,0.55603,0.66088,0.69208,0.47825,1.00606,1.34155,1.55771,0.00100687,0.00100687,0.00100687
26,80.5084,1.01178,0.80318,1.17657,0.39326,0.78342,0.61009,0.37484,1.44776,2.13858,2.6239,0.000979362,0.000979362,0.000979362
27,83.106,0.88979,0.76031,1.10713,0.61756,0.8,0.65683,0.50357,1.05886,3.00821,1.65853,0.000951857,0.000951857,0.000951857
28,85.6166,0.88536,0.76423,1.08125,0.38393,0.575,0.44483,0.33258,1.62914,2.26057,2.12875,0.000924352,0.000924352,0.000924352
29,88.9399,0.92599,0.71337,1.10727,0.43185,0.44547,0.38621,0.30684,1.52237,2.04727,2.07673,0.000896846,0.000896846,0.000896846
30,91.8272,0.87463,0.7214,1.10862,0.45103,0.41022,0.50557,0.31914,1.4965,1.74686,2.04619,0.00086934,0.00086934,0.00086934
31,94.2122,0.85212,0.73111,1.09783,0.76722,0.875,0.87417,0.47261,1.24701,1.39413,1.65086,0.000841835,0.000841835,0.000841835
32,96.7977,1.0235,0.7451,1.20324,0.71264,0.775,0.75427,0.54465,1.17766,1.47963,1.52865,0.000814329,0.000814329,0.000814329
33,99.5346,0.86476,0.66225,1.08833,0.6453,0.7122,0.58198,0.33633,1.58184,1.63366,2.04255,0.000786824,0.000786824,0.000786824
34,102.945,0.93678,0.74776,1.12536,0.41463,0.5,0.51712,0.42988,1.43807,1.61756,1.86314,0.000759318,0.000759318,0.000759318
35,105.315,0.91677,0.71986,1.12408,0.49109,0.5,0.52247,0.43226,1.34617,1.46485,1.64632,0.000731813,0.000731813,0.000731813
36,107.923,0.84731,0.63352,1.07298,0.79914,0.9,0.95333,0.86104,0.44125,0.69328,0.92449,0.000704307,0.000704307,0.000704307
37,110.247,0.80833,0.60509,1.05205,0.7012,0.97136,0.97833,0.92508,0.42792,0.76615,0.93012,0.000676802,0.000676802,0.000676802
38,113.476,0.86819,0.60597,1.11152,0.89302,0.90611,0.995,0.84712,0.55292,0.62533,1.01673,0.000649297,0.000649297,0.000649297
39,116.546,0.8265,0.62702,1.07029,0.95987,0.95635,0.995,0.81502,0.56178,0.47579,1.01895,0.000621791,0.000621791,0.000621791
40,118.969,0.81529,0.65313,1.07198,0.98427,1,0.995,0.93296,0.51348,0.46568,0.97579,0.000594286,0.000594286,0.000594286
41,121.639,0.82133,0.54738,1.11693,0.9803,1,0.995,0.92077,0.51679,0.45034,0.97938,0.00056678,0.00056678,0.00056678
42,123.909,0.75633,0.58638,1.05063,0.97378,0.98018,0.995,0.90219,0.49555,0.46026,0.96593,0.000539275,0.000539275,0.000539275
43,127.063,0.80441,0.65604,1.05368,0.88934,0.92953,0.96167,0.83909,0.54321,0.48341,0.98462,0.000511769,0.000511769,0.000511769
44,130.013,0.8506,0.61826,1.11502,0.99645,0.99366,0.995,0.84321,0.61614,0.41335,1.02449,0.000484263,0.000484263,0.000484263
45,132.462,0.74551,0.5579,1.04083,0.98685,1,0.995,0.86387,0.54973,0.38636,0.99662,0.000456758,0.000456758,0.000456758
46,134.754,0.77483,0.54813,1.0545,0.98748,1,0.995,0.88731,0.48693,0.38659,0.94442,0.000429253,0.000429253,0.000429253
47,137.399,0.76394,0.62678,1.05258,0.98655,1,0.995,0.90207,0.47098,0.36145,0.93079,0.000401747,0.000401747,0.000401747
48,140.979,0.68413,0.58061,1.04103,0.96597,1,0.995,0.92405,0.46209,0.34004,0.91061,0.000374242,0.000374242,0.000374242
49,143.764,0.72297,0.59103,1.06093,0.97086,1,0.995,0.91194,0.44877,0.35616,0.89349,0.000346736,0.000346736,0.000346736
50,146.166,0.69583,0.53684,1.00745,0.97522,1,0.995,0.93201,0.41356,0.34698,0.88344,0.000319231,0.000319231,0.000319231
51,158.192,0.53907,0.4541,0.96123,0.98181,1,0.995,0.95566,0.34725,0.34198,0.87865,0.000291725,0.000291725,0.000291725
52,163.841,0.61256,0.51162,1.01903,0.98263,1,0.995,0.93995,0.40281,0.34243,0.88563,0.00026422,0.00026422,0.00026422
53,168.889,0.551,0.44141,0.90025,0.98014,1,0.995,0.9084,0.42327,0.3561,0.89183,0.000236714,0.000236714,0.000236714
54,171.795,0.45911,0.38592,0.90966,0.98345,1,0.995,0.87839,0.44207,0.35034,0.89731,0.000209209,0.000209209,0.000209209
55,174.544,0.47846,0.41375,0.93565,0.98782,1,0.995,0.89612,0.45228,0.33327,0.89553,0.000181703,0.000181703,0.000181703
56,177.472,0.4474,0.3824,0.88191,0.98602,1,0.995,0.91824,0.42978,0.29443,0.88163,0.000154198,0.000154198,0.000154198
57,180.804,0.44045,0.39381,0.93563,0.98542,1,0.995,0.93383,0.4123,0.29018,0.87818,0.000126692,0.000126692,0.000126692
58,183.45,0.443,0.38984,0.85675,0.98504,1,0.995,0.94503,0.39257,0.29934,0.87555,9.91865e-05,9.91865e-05,9.91865e-05
59,185.779,0.43898,0.38474,0.91103,0.98556,1,0.995,0.94534,0.38429,0.29867,0.87101,7.1681e-05,7.1681e-05,7.1681e-05
60,188.374,0.39358,0.40727,0.8142,0.98689,1,0.995,0.94598,0.38016,0.27708,0.86643,4.41755e-05,4.41755e-05,4.41755e-05
